date, IPclient, PORTclient, IPserver, PORTserver, nproccess, interval, transferred_bytes, bits/s
20201111223339,10.0.0.5,57016,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,45634,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,58079,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,44480,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,54643,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,49851,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.4,45287,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,59263,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,33029,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,47733,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,59495,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,60928,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,34257,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,37888,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,36431,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,53859,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,49540,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,60240,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,36389,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,38813,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,54057,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.5,34581,10.0.0.4,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,41120,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.4,33664,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,55994,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,39873,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,54389,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,48428,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,52509,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,44269,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,38438,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,37753,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,51039,10.0.0.5,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,58959,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,60992,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,34625,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,55756,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,44188,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,41967,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,47121,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.5,40093,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,38679,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,43763,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.4,41759,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,40210,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,33887,10.0.0.6,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.4,45271,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,33753,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,36054,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,36822,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,41857,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.5,37106,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,51435,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,60910,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,60106,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,37110,10.0.0.7,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,44966,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,40506,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.4,56640,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,37712,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,54730,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,52315,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.5,53199,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,46205,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.5,50106,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,42712,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,48490,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,48734,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,41163,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,58170,10.0.0.8,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.4,55844,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,56149,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,55921,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,45642,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,39041,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,60345,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,55362,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,33133,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,43167,10.0.0.9,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,60227,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,38749,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,52759,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,60398,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,38138,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.5,46948,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.4,46292,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,50177,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,35329,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,36037,10.0.0.10,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.4,57824,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,57065,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,43134,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,56828,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.5,39809,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,38432,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,44908,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,35011,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,57533,10.0.0.11,5201,3,11.0-12.0,1470,11760
20201111223340,10.0.0.2,32932,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,60012,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,46378,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,48609,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,43188,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,43113,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,47813,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,40747,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,48644,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,35022,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,51924,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,59308,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,56810,10.0.0.1,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,38336,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,48687,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,34091,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,58711,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,58400,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,38164,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,33562,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,45249,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.2,55885,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,45172,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,57016,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,45634,10.0.0.2,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,58079,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,45287,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,54643,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,59263,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,33029,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,60928,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,47733,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,38813,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,36431,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,59495,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.2,44480,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,54057,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,34581,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,49851,10.0.0.3,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,34257,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,37888,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,49540,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,36389,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,60240,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,53859,10.0.0.4,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,33664,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.2,54389,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,55994,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,41120,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,51039,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,44269,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,48428,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,39873,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,38438,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,60992,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,37753,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,52509,10.0.0.5,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.2,34625,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,55756,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,38679,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,47121,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,58959,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,44188,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,40093,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,43763,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.2,36054,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,33887,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,40210,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,33753,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,41857,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,41967,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,41759,10.0.0.6,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,51435,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,36822,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,45271,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,37106,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,37110,10.0.0.7,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.2,60106,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,58170,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,40506,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,52315,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,53199,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,44966,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,54730,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,37712,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,60910,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,56640,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,48490,10.0.0.8,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,41163,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,46205,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,55844,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,39041,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,43167,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,42712,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,60345,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,48734,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,50106,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.2,33133,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,56149,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,36037,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,60398,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,55362,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,46292,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,35329,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,38138,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,38749,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.2,45642,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,55921,10.0.0.9,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.1,60227,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.2,43134,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.3,56828,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,46948,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.11,50177,10.0.0.10,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.0,52759,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.5,39809,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.4,57824,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.6,57533,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.7,38432,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.8,57065,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.9,35011,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223340,10.0.0.10,44908,10.0.0.11,5201,3,12.0-13.0,1470,11760
20201111223341,10.0.0.0,60012,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.2,32932,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.4,43188,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.3,43113,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.5,40747,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.7,47813,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.8,48609,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.9,51924,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.6,46378,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.11,56810,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.3,35022,10.0.0.2,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.0,48644,10.0.0.2,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.10,59308,10.0.0.1,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.1,48687,10.0.0.2,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.8,38164,10.0.0.2,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.5,58400,10.0.0.2,5201,3,13.0-14.0,1470,11760
20201111223341,10.0.0.11,38336,10.0.0.2,5201,3,13.0-14.0,1470,11760
